timestamp(ms),GPS[0].Lat,GPS[0].Lng,GPS[0].Alt,GPS[0].Spd,GPS[0].VZ,GPS[0].Yaw,IMU[0].GyrX,IMU[0].GyrY,IMU[0].GyrZ,IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ,ORGN[0].Lat,ORGN[0].Lng,ORGN[0].Alt,XKF1[0].PN,XKF1[0].PE,XKF1[0].PD,XKF1[0].VN,XKF1[0].VE,XKF1[0].VD,XKF1[0].Roll,XKF1[0].Pitch,XKF1[0].Yaw,XKF1[0].GX,XKF1[0].GY,XKF1[0].GZ
545409.967,411007577,290243460,104.25,0.141000003,2.145000219,0,0.012456208,0.083467327,0.027225446,0.324314266,0.249068007,-9.657836914,NaN,NaN,NaN,9.435315132,-8.002684593,-30.74180222,0.127065778,-0.086079694,2.280843973,-1.48,4.73,1.87,0,0.01,0
545509.967,411007580,290243458,103.82,0.165000007,2.163000107,0,0.145489514,-0.035899837,0.124473467,0.526443362,-0.469318569,-9.868535995,NaN,NaN,NaN,9.442200661,-8.01131916,-30.51337051,0.097949661,-0.063602284,2.245704174,-0.58,4.67,2.8,0,0.01,0
545609.967,411007580,290243458,103.82,0.165000007,2.163000107,0,-0.141438022,-0.17104128,0.276273698,0.738782883,-0.070648365,-10.01447582,NaN,NaN,NaN,9.448659897,-8.019198418,-30.2805481,0.081096783,-0.058954649,2.246521235,-0.51,3.95,4.46,0,0.01,0
545709.967,411007581,290243456,103.41,0.133000001,2.051000118,0,-0.352889001,0.053428102,0.345301747,0.613502085,-0.073519208,-9.614244461,NaN,NaN,NaN,9.457582474,-8.023171425,-30.05178261,0.074995041,-0.089032128,2.243418694,-2.07,4.01,6.31,0,0.01,0
545809.967,411007581,290243456,103.41,0.133000001,2.051000118,0,-0.109462082,0.06058215,0.248845235,0.617647767,-0.535246372,-9.791442871,NaN,NaN,NaN,9.462302208,-8.032270432,-29.82246399,0.059352383,-0.115797155,2.249679327,-2.5,3.94,7.74,0,0.01,0
545909.967,411007582,290243453,102.98,0.178000003,2.124000072,0,-0.100793488,0.257250518,0.134820119,0.036659081,-0.481881171,-9.619484901,NaN,NaN,NaN,9.461261749,-8.047884941,-29.59545708,0.018425047,-0.160142809,2.265505314,-2.68,5.16,8.72,0,0.01,0
546009.967,411007582,290243453,102.98,0.178000003,2.124000072,0,0.321999282,0.126054242,0.201179817,0.34927243,-0.108012669,-9.816060066,NaN,NaN,NaN,9.459474564,-8.068156242,-29.36071968,-0.015401302,-0.205636203,2.258559942,-1.43,5.18,9.59,0,0.01,0
546109.967,411007583,290243449,102.53,0.118000008,2.246000051,0,0.11645887,-0.25782913,0.037218131,0.625459194,0.223721966,-9.340045929,NaN,NaN,NaN,9.45695591,-8.090248108,-29.1295948,-0.026575608,-0.212961063,2.296058416,-0.87,4.14,9.72,0,0.01,0
546209.967,411007583,290243449,102.53,0.118000008,2.246000051,0,-0.326679677,-0.125211194,-0.082436375,0.337784708,-0.348553002,-9.646379471,NaN,NaN,NaN,9.452315331,-8.111824989,-28.89142609,-0.033819303,-0.230675429,2.26804471,-1.03,3.08,9.18,0,0.01,0
546309.967,411007582,290243446,102.1,0.207000017,2.180999994,0,0.288612515,-0.13614732,-0.129740939,0.665730238,0.188211903,-9.963173866,NaN,NaN,NaN,9.446610451,-8.130930901,-28.66030121,-0.044586379,-0.234502852,2.273123264,0.74,2.9,8.3,0,0.01,0
546409.967,411007582,290243446,102.1,0.207000017,2.180999994,0,0.325657189,-0.039572723,-0.140917331,0.613248646,0.164761364,-9.662479401,NaN,NaN,NaN,9.443342209,-8.148683548,-28.42283821,-0.047608364,-0.177171245,2.260146379,1.6,3.02,7.48,0,0.01,0
546509.967,411007582,290243440,101.7,0.249000013,2.072000027,0,-0.188332155,0.064256452,-0.158806026,0.476913631,-0.420377672,-9.187507629,NaN,NaN,NaN,9.443342209,-8.148683548,-28.42283821,-0.047608364,-0.177171245,2.260146379,1.6,3.02,7.48,0,0.01,0
546609.967,411007582,290243440,101.7,0.249000013,2.072000027,0,-0.27087459,0.060861334,-0.140068725,0.376297802,-0.428124458,-10.18949509,NaN,NaN,NaN,9.441419601,-8.16245079,-28.18823433,-0.062905535,-0.152748957,2.267016649,0.11,4.62,6.67,0,0.01,0
546709.967,411007582,290243435,101.27,0.140000001,2.124000072,0,-0.074384615,-0.254986018,-0.13598904,0.698431253,0.003143654,-9.375510216,NaN,NaN,NaN,9.435190201,-8.179581642,-27.95492172,-0.076297104,-0.146867454,2.251463413,-0.65,4.53,5.86,0,0.01,0
546809.967,411007582,290243435,101.27,0.140000001,2.124000072,0,0.264872521,0.06797225,-0.115828551,0.502111971,-0.314340919,-9.80706501,NaN,NaN,NaN,9.42652607,-8.199035645,-27.72627449,-0.092327632,-0.177391976,2.246065378,-0.6,3.68,5.1,0,0.01,0
546909.967,411007581,290243431,100.85,0.201000005,2.194000006,0,0.146444127,-0.186746418,-0.058259919,0.812884748,-0.621074796,-9.71343708,NaN,NaN,NaN,9.420595169,-8.217528343,-27.49743271,-0.08819592,-0.155291215,2.232538939,1.07,2.68,4.57,0,0.01,0
547009.967,411007581,290243431,100.85,0.201000005,2.194000006,0,-0.053634614,0.12488392,-0.10376174,0.689118207,0.150262922,-9.587130547,NaN,NaN,NaN,9.417386055,-8.232584,-27.27252388,-0.079763904,-0.109864675,2.241194725,0.95,2.09,4.08,0,0.01,0
547109.967,411007579,290243426,100.46,0.176000014,2.063000202,0,-0.115107186,0.101504184,-0.092712559,0.515030861,0.194844157,-9.641449928,NaN,NaN,NaN,9.41356945,-8.246506691,-27.04122353,-0.065415949,-0.08892709,2.258092403,1.02,2.45,3.46,0,0.01,0
547209.967,411007579,290243426,100.46,0.176000014,2.063000202,0,-0.187947884,0.118135005,-0.069122493,0.675673306,-0.197753251,-9.420119286,NaN,NaN,NaN,9.409870148,-8.25729084,-26.80949211,-0.045517683,-0.088267773,2.241827726,-0.15,2.96,3.14,0,0.01,0
547309.967,411007579,290243423,100.02,0.063000001,2.168000221,0,-0.294551402,0.011694913,-0.004965215,0.440324575,0.311471134,-9.486783981,NaN,NaN,NaN,9.406838417,-8.270920753,-26.57385445,-0.056701362,-0.071274139,2.26169157,-1.38,2.8,3.08,0,0.01,0
547409.967,411007579,290243423,100.02,0.063000001,2.168000221,0,0.341401219,-0.086453162,0.12939775,0.407292515,-0.008278345,-9.723024368,NaN,NaN,NaN,9.404467583,-8.285266876,-26.34357452,-0.016523283,-0.104486205,2.285025597,0.09,1.46,3.63,0,0.01,0
547509.967,411007576,290243421,99.55,0.451000035,2.143000126,0,-0.133331984,0.875468612,0.222749203,0.385942936,-0.541807652,-9.114467621,NaN,NaN,NaN,9.407547951,-8.295394897,-26.10349846,-0.020412354,-0.069055386,2.315950871,0.6,5.31,5.1,0,0.01,0
547609.967,411007576,290243421,99.55,0.451000035,2.143000126,0,0.546212137,0.036297303,0.295853108,0.502351105,-0.3981556,-9.467564583,NaN,NaN,NaN,9.401651382,-8.303254128,-25.85862923,-0.117166445,-0.02695339,2.337825298,3.81,8.44,6.81,0,0.01,0
547709.967,411007573,290243420,99.09,0.074000001,2.284000158,0,-0.119135357,-1.089559436,0.392771453,0.687789738,-0.013315991,-9.554527283,NaN,NaN,NaN,9.368276596,-8.306348801,-25.61877251,-0.193401068,0.041040767,2.330464363,4.43,3.54,8.42,0,0.01,0
547809.967,411007573,290243420,99.09,0.074000001,2.284000158,0,-0.808167815,-0.509489119,0.248508796,0.897967637,-0.343583614,-10.35339451,NaN,NaN,NaN,9.336628914,-8.30002594,-25.37752914,-0.175542429,0.125073284,2.262223482,-0.18,0.99,9.53,0,0.01,0
547909.967,411007572,290243419,98.7,0.177000001,2.084000111,0,-0.866410792,0.148597106,0.081983015,0.758163452,-0.569966614,-9.841820717,NaN,NaN,NaN,9.324404716,-8.292020798,-25.14826584,-0.156374693,0.064989634,2.211097479,-5.73,2.52,10.05,0,0.01,0
548009.967,411007572,290243419,98.7,0.177000001,2.084000111,0,0.089646839,-0.290471435,-0.114247419,0.579986215,-0.010678864,-10.06251812,NaN,NaN,NaN,9.315810204,-8.293868065,-24.92139816,-0.082430184,-0.02446558,2.18052268,-4.35,1.48,9.58,0,0.01,0
